year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2012,CIN,"$74,036,950 ","$2,742,109 ","$1,000,000 ",97,"$763,267.53 ",no
2012,CLE,"$73,880,300 ","$2,638,582 ","$652,450 ",68,"$1,086,475.00 ",no
2012,COL,"$78,069,571 ","$2,692,054 ","$482,000 ",64,"$1,219,837.05 ",no
2012,DET,"$138,800,000 ","$4,626,667 ","$1,600,000 ",88,"$1,577,272.73 ",no
2012,HOU,"$60,651,000 ","$2,332,731 ","$491,250 ",55,"$1,102,745.45 ",no
2012,KCR,"$57,406,225 ","$1,979,525 ","$865,000 ",72,"$797,308.68 ",no
2012,LAA,"$153,990,166 ","$5,499,649 ","$3,350,000 ",89,"$1,730,226.58 ",no
2012,LAD,"$110,300,717 ","$3,558,088 ","$850,000 ",86,"$1,282,566.48 ",no
2012,MIA,"$118,078,000 ","$4,373,259 ","$1,500,000 ",69,"$1,711,275.36 ",no
2012,MIL,"$91,903,944 ","$3,676,158 ","$1,962,500 ",83,"$1,107,276.43 ",no
2012,MIN,"$92,535,000 ","$3,559,038 ","$637,500 ",66,"$1,402,045.45 ",no
2012,NYM,"$92,834,433 ","$3,570,555 ","$937,500 ",74,"$1,254,519.36 ",no
2012,NYY,"$167,000,289 ","$5,758,631 ","$2,000,000 ",95,"$1,757,897.78 ",no
2012,OAK,"$49,372,500 ","$1,702,500 ","$485,000 ",94,"$525,239.36 ",no
2012,PHI,"$154,538,938 ","$5,328,929 ","$1,250,000 ",81,"$1,907,888.12 ",no
2012,PIT,"$62,950,999 ","$2,248,250 ","$1,008,333 ",79,"$796,848.09 ",no
2012,SDP,"$54,578,033 ","$2,021,409 ","$1,250,000 ",76,"$718,132.01 ",no
2012,SEA,"$80,478,100 ","$2,980,670 ","$495,100 ",94,"$856,150.00 ",no
2012,SFG,"$101,771,350 ","$3,634,691 ","$1,275,000 ",75,"$1,356,951.33 ",yes
2012,STL,"$101,350,862 ","$3,898,110 ","$629,000 ",88,"$1,151,714.34 ",no
2012,TBR,"$64,173,500 ","$2,291,911 ","$1,425,000 ",90,"$713,038.89 ",no
2012,TEX,"$94,860,974 ","$3,952,541 ","$3,100,000 ",93,"$1,020,010.47 ",no
2012,TOR,"$92,489,200 ","$3,082,973 ","$2,138,750 ",73,"$1,266,975.34 ",no
2012,WAS,"$70,378,428 ","$2,345,948 ","$775,000 ",98,"$718,147.22 ",no
2011,ARI,"$70,098,833 ","$2,696,109 ","$1,625,000 ",94,"$745,732.27 ",no
2011,ATL,"$75,874,942 ","$2,709,819 ","$550,000 ",89,"$852,527.44 ",no
2011,BAL,"$74,012,333 ","$2,643,298 ","$1,275,000 ",69,"$1,072,642.51 ",no
2011,BOS,"$158,129,617 ","$4,941,551 ","$1,556,250 ",90,"$1,756,995.74 ",no
2011,CHC,"$88,677,033 ","$3,284,335 ","$1,150,000 ",71,"$1,248,972.30 ",no
2011,CHW,"$96,439,500 ","$4,018,313 ","$1,265,000 ",79,"$1,220,753.16 ",no
2011,CIN,"$74,036,950 ","$2,742,109 ","$1,000,000 ",79,"$937,176.58 ",no
2011,CLE,"$73,880,300 ","$2,638,582 ","$652,450 ",80,"$923,503.75 ",no
2011,COL,"$78,069,571 ","$2,692,054 ","$482,000 ",73,"$1,069,446.18 ",no
2011,DET,"$138,800,000 ","$4,626,667 ","$1,600,000 ",95,"$1,461,052.63 ",no
2011,HOU,"$60,651,000 ","$2,332,731 ","$491,250 ",56,"$1,083,053.57 ",no
2011,KCR,"$57,406,225 ","$1,979,525 ","$865,000 ",71,"$808,538.38 ",no
2011,LAA,"$153,990,166 ","$5,499,649 ","$3,350,000 ",86,"$1,790,583.33 ",no
2011,LAD,"$110,300,717 ","$3,558,088 ","$850,000 ",82,"$1,345,130.70 ",no
2011,MIA,"$118,078,000 ","$4,373,259 ","$1,500,000 ",72,"$1,639,972.22 ",no
2011,MIL,"$91,903,944 ","$3,676,158 ","$1,962,500 ",96,"$957,332.75 ",no
2011,MIN,"$92,535,000 ","$3,559,038 ","$637,500 ",63,"$1,468,809.52 ",no
2011,NYM,"$92,834,433 ","$3,570,555 ","$937,500 ",77,"$1,205,641.99 ",no
2011,NYY,"$167,000,289 ","$5,758,631 ","$2,000,000 ",97,"$1,721,652.46 ",no
2011,OAK,"$49,372,500 ","$1,702,500 ","$485,000 ",74,"$667,195.95 ",no
2011,PHI,"$154,538,938 ","$5,328,929 ","$1,250,000 ",102,"$1,515,087.63 ",no
2011,PIT,"$62,950,999 ","$2,248,250 ","$1,008,333 ",72,"$874,319.43 ",no
2011,SDP,"$54,578,033 ","$2,021,409 ","$1,250,000 ",71,"$768,704.69 ",no
2011,SEA,"$80,478,100 ","$2,980,670 ","$495,100 ",86,"$935,791.86 ",no
2011,SFG,"$101,771,350 ","$3,634,691 ","$1,275,000 ",67,"$1,518,975.37 ",no
2011,STL,"$101,350,862 ","$3,898,110 ","$629,000 ",90,"$1,126,120.69 ",yes
2011,TBR,"$64,173,500 ","$2,291,911 ","$1,425,000 ",91,"$705,203.30 ",no
2011,TEX,"$94,860,974 ","$3,952,541 ","$3,100,000 ",96,"$988,135.15 ",no
2011,TOR,"$92,489,200 ","$3,082,973 ","$2,138,750 ",81,"$1,141,841.98 ",no
2011,WAS,"$70,378,428 ","$2,345,948 ","$775,000 ",80,"$879,730.35 ",no
2010,ARI,"$60,718,166 ","$2,335,314 ","$1,416,667 ",65,"$934,125.63 ",no
2010,ATL,"$84,423,666 ","$3,126,802 ","$1,150,000 ",91,"$927,732.59 ",no
2010,BAL,"$81,612,500 ","$3,138,942 ","$1,325,000 ",66,"$1,236,553.03 ",no
2010,BOS,"$149,447,333 ","$5,337,405 ","$3,625,000 ",89,"$1,679,183.52 ",no
2010,CHC,"$146,609,000 ","$5,429,963 ","$2,125,000 ",75,"$1,954,786.67 ",no
2010,CHW,"$105,530,000 ","$4,058,846 ","$2,500,000 ",88,"$1,199,204.55 ",no
2010,CIN,"$60,136,542 ","$2,405,462 ","$445,000 ",91,"$660,841.12 ",no
